index	name	kind
371	AppConnection	OBJECT
372	AppEdge	OBJECT
373	AppsSortKeys	ENUM
374	AppInstallationConnection	OBJECT
375	AppInstallationEdge	OBJECT
376	AppInstallationSortKeys	ENUM
377	AppInstallationCategory	ENUM
378	AppInstallationPrivacy	ENUM
379	ShopImageSortKeys	ENUM
380	PosLinkResourceType	ENUM
381	PosLinkResourceLocation	ENUM
382	ResourceType	ENUM
383	ResourceLocation	ENUM
384	LimitedPendingOrderCount	OBJECT
385	SearchResultConnection	OBJECT
386	SearchResultEdge	OBJECT
387	SearchResult	OBJECT
388	CountriesInShippingZones	OBJECT
389	PaymentSettings	OBJECT
390	DigitalWallet	ENUM
391	ShopResourceLimits	OBJECT
392	ShopTemplateResource	ENUM
393	SearchFilterOptions	OBJECT
394	FilterOption	OBJECT
395	ShopifyPaymentsAccount	OBJECT
396	ShopifyPaymentsPayoutConnection	OBJECT
397	ShopifyPaymentsPayoutEdge	OBJECT
398	ShopifyPaymentsPayout	OBJECT
399	ShopifyPaymentsPayoutStatus	ENUM
400	ShopifyPaymentsPayoutSummary	OBJECT
401	ShopifyPaymentsPayoutTransactionType	ENUM
402	ShopifyPaymentsBankAccount	OBJECT
403	ShopifyPaymentsBankAccountStatus	ENUM
404	ShopifyPaymentsBankAccountConnection	OBJECT
405	ShopifyPaymentsBankAccountEdge	OBJECT
406	ShopifyPaymentsVerification	OBJECT
407	ShopifyPaymentsVerificationStatus	ENUM
408	ShopifyPaymentsVerificationSubject	OBJECT
409	ShopifyPaymentsVerificationDocument	OBJECT
410	ShopifyPaymentsVerificationDocumentType	ENUM
411	ShopifyPaymentsPayoutSchedule	OBJECT
412	ShopifyPaymentsPayoutInterval	ENUM
413	DayOfTheWeek	ENUM
414	ShopifyPaymentsChargeStatementDescriptor	INTERFACE
415	ShopifyPaymentsFraudSettings	OBJECT
416	ShopifyPaymentsNotificationSettings	OBJECT
417	ShopifyPaymentsDisputeConnection	OBJECT
418	ShopifyPaymentsDisputeEdge	OBJECT
419	ShopifyPaymentsDispute	OBJECT
420	ShopifyPaymentsDisputeReasonDetails	OBJECT
421	ShopifyPaymentsDisputeReason	ENUM
422	UnprotectedOrderAction	ENUM
423	ChatEventOriginTag	ENUM
424	TenderTransactionConnection	OBJECT
425	TenderTransactionEdge	OBJECT
426	TenderTransaction	OBJECT
427	TenderTransactionDetails	UNION
428	TenderTransactionCreditCardDetails	OBJECT
429	DeletionEventConnection	OBJECT
430	DeletionEventEdge	OBJECT
431	DeletionEvent	OBJECT
432	DeletionEventSubjectType	ENUM
433	DeletionEventSortKeys	ENUM
434	DiscountAutomaticConnection	OBJECT
435	DiscountAutomaticEdge	OBJECT
436	DiscountAutomatic	UNION
437	DiscountAutomaticBxgy	OBJECT
438	DiscountStatus	ENUM
439	DiscountCustomerGets	OBJECT
440	DiscountCustomerGetsValue	UNION
441	DiscountOnQuantity	OBJECT
442	DiscountQuantity	OBJECT
443	DiscountEffect	UNION
444	DiscountPercentage	OBJECT
445	DiscountAmount	OBJECT
446	DiscountItems	UNION
447	AllDiscountItems	OBJECT
448	DiscountProducts	OBJECT
449	DiscountCollections	OBJECT
450	DiscountCustomerBuys	OBJECT
451	DiscountCustomerBuysValue	UNION
452	DiscountAutomaticBasic	OBJECT
453	DiscountMinimumRequirement	UNION
454	DiscountMinimumQuantity	OBJECT
455	DiscountMinimumSubtotal	OBJECT
456	AutomaticDiscountSortKeys	ENUM
457	DiscountAutomaticNode	OBJECT
458	DiscountAutomaticNodeConnection	OBJECT
459	DiscountAutomaticNodeEdge	OBJECT
460	DiscountCodeNode	OBJECT
461	DiscountCode	UNION
462	DiscountCodeBasic	OBJECT
463	DiscountRedeemCodeConnection	OBJECT
464	DiscountRedeemCodeEdge	OBJECT
465	DiscountRedeemCode	OBJECT
466	DiscountCustomerSelection	UNION
467	DiscountCustomerAll	OBJECT
468	DiscountCustomers	OBJECT
469	DiscountCustomerSavedSearches	OBJECT
470	DiscountCodeBxgy	OBJECT
471	DiscountCodeFreeShipping	OBJECT
472	DiscountShippingDestinationSelection	UNION
473	DiscountCountryAll	OBJECT
474	DiscountCountries	OBJECT
475	DiscountCodeNodeConnection	OBJECT
476	DiscountCodeNodeEdge	OBJECT
477	CodeDiscountSortKeys	ENUM
478	ScriptTagConnection	OBJECT
479	ScriptTagEdge	OBJECT
480	WebhookSubscription	OBJECT
481	WebhookSubscriptionFormat	ENUM
482	WebhookSubscriptionTopic	ENUM
483	WebhookSubscriptionConnection	OBJECT
484	WebhookSubscriptionEdge	OBJECT
485	WebhookSubscriptionSortKeys	ENUM
486	MetafieldStorefrontVisibility	OBJECT
487	MetafieldStorefrontVisibilityConnection	OBJECT
488	MetafieldStorefrontVisibilityEdge	OBJECT
489	DeliveryProfileConnection	OBJECT
490	DeliveryProfileEdge	OBJECT
491	DeliverySetting	OBJECT
492	DeliveryLegacyModeBlocked	OBJECT
493	DeliveryLegacyModeBlockedReason	ENUM
494	DeliveryCarrierServiceEdge	OBJECT
495	ShopLocale	OBJECT
496	TranslatableResourceConnection	OBJECT
497	TranslatableResourceEdge	OBJECT
498	TranslatableResource	OBJECT
499	TranslatableContent	OBJECT
500	Translation	OBJECT
501	TranslatableResourceType	ENUM
502	ApiVersion	OBJECT
503	DeliveryCarrierServiceAndLocations	OBJECT
504	BulkOperation	OBJECT
505	BulkOperationErrorCode	ENUM
506	BulkOperationStatus	ENUM
507	Mutation	OBJECT
